PRO_COM_T,COD_REG,COMUNE,Abitanti
001305,1,Villar Focchiardo,1940
001306,1,Villar Pellice,1056
001307,1,Villar Perosa,3990
001308,1,Villastellone,4624
001310,1,Virle Piemonte,1152
001311,1,Vische,1226
001312,1,Vistrorio,519
001313,1,Viù,1021
001317,1,Val di Chy,1276
001318,1,Valchiusa,1026
002002,1,Alagna Valsesia,727
002003,1,Albano Vercellese,309
002004,1,Alice Castello,2544
002006,1,Arborio,863
002007,1,Asigliano Vercellese,1420
002008,1,Balmuccia,115
002009,1,Balocco,217
002011,1,Bianzè,1876
002014,1,Boccioleto,170
002015,1,Borgo d'Ale,2320
002017,1,Borgo Vercelli,2211
002021,1,Buronzo,849
002025,1,Campertogno,230
002029,1,Carcoforo,74
002030,1,Caresana,1038
002031,1,Caresanablot,1109
001244,1,San Giorgio Canavese,2565
001245,1,San Giorio di Susa,971
001246,1,San Giusto Canavese,3312
001247,1,San Martino Canavese,807
001250,1,San Pietro Val Lemina,1426
001251,1,San Ponso,263
001252,1,San Raffaele Cimena,3107
001253,1,San Sebastiano da Po,1895
001254,1,San Secondo di Pinerolo,3645
001255,1,Sant'Ambrogio di Torino,4711
001256,1,Sant'Antonino di Susa,4197
001258,1,Sauze di Cesana,245
001259,1,Sauze d'Oulx,1090
001260,1,Scalenghe,3267
001261,1,Scarmagno,826
001262,1,Sciolze,1455
001263,1,Sestriere,922
001264,1,Settimo Rottaro,468
001266,1,Settimo Vittone,1542
001267,1,Sparone,962
001268,1,Strambinello,270
001271,1,Tavagnasco,774
001273,1,Torrazza Piemonte,2974
001274,1,Torre Canavese,604
001275,1,Torre Pellice,4543
001276,1,Trana,3814
001278,1,Traversella,322
001279,1,Traves,524
001281,1,Usseaux,189
001282,1,Usseglio,200
001283,1,Vaie,1418
001284,1,Val della Torre,3960
001285,1,Valgioie,928
001286,1,Vallo Torinese,792
001287,1,Valperga,3026
001288,1,Valprato Soana,95
001289,1,Varisella,851
001290,1,Vauda Canavese,1452
001291,1,Venaus,880
005033,1,Cellarengo,709
005034,1,Celle Enomondo,470
005035,1,Cerreto d'Asti,221
005036,1,Cerro Tanaro,594
005037,1,Cessole,368
005038,1,Chiusano d'Asti,229
005039,1,Cinaglio,450
005040,1,Cisterna d'Asti,1222
005041,1,Coazzolo,292
005042,1,Cocconato,1454
005044,1,Corsione,203
005045,1,Cortandone,308
005046,1,Cortanze,274
005047,1,Cortazzone,593
005048,1,Cortiglione,536
005049,1,Cossombrato,521
005051,1,Cunico,452
005052,1,Dusino San Michele,1072
005053,1,Ferrere,1533
005054,1,Fontanile,551
005055,1,Frinco,731
005056,1,Grana,587
005057,1,Grazzano Badoglio,608
005058,1,Incisa Scapaccino,2138
005059,1,Isola d'Asti,2023
005060,1,Loazzolo,321
005061,1,Maranzana,244
005062,1,Maretto,383
005063,1,Moasca,502
005064,1,Mombaldone,202
005065,1,Mombaruzzo,1028
005066,1,Mombercelli,2126
005067,1,Monale,1001
005068,1,Monastero Bormida,912
004207,1,San Damiano Macra,407
004208,1,Sanfrè,3014
004209,1,Sanfront,2340
004210,1,San Michele Mondovì,1887
004211,1,Sant'Albano Stura,2359
004212,1,Santa Vittoria d'Alba,2861
004213,1,Santo Stefano Belbo,3959
004214,1,Santo Stefano Roero,1374
004216,1,Scagnello,182
004217,1,Scarnafigi,2133
004218,1,Serralunga d'Alba,561
004219,1,Serravalle Langhe,300
004220,1,Sinio,493
004221,1,Somano,323
004223,1,Sommariva Perno,2723
004224,1,Stroppo,101
004225,1,Tarantasca,2153
004226,1,Torre Bormida,165
004227,1,Torre Mondovì,490
004228,1,Torre San Giorgio,731
004229,1,Torresina,46
004230,1,Treiso,773
004231,1,Trezzo Tinella,312
004232,1,Trinità,2235
004233,1,Valdieri,908
004234,1,Valgrana,774
004235,1,Valloriate,104
004237,1,Venasca,1384
004238,1,Verduno,528
004239,1,Vernante,1155
004241,1,Vezza d'Alba,2313
004242,1,Vicoforte,3162
004243,1,Vignolo,2605
004244,1,Villafalletto,2936
004246,1,Villanova Solaro,745
004247,1,Villar San Costanzo,1537
004248,1,Vinadio,607
004249,1,Viola,364
004250,1,Vottignasco,501
005001,1,Agliano Terme,1578
005002,1,Albugnano,500
005003,1,Antignano,962
005004,1,Aramengo,567
005104,1,Serole,113
005105,1,Sessame,251
005106,1,Settime,530
005107,1,Soglio,152
005108,1,Tigliole,1713
005109,1,Tonco,796
005110,1,Tonengo,246
005111,1,Vaglio Serra,281
005112,1,Valfenera,2418
005113,1,Vesime,609
005114,1,Viale,241
005115,1,Viarigi,861
005116,1,Vigliano d'Asti,821
005117,1,Villafranca d'Asti,2985
005119,1,Villa San Secondo,387
005120,1,Vinchio,567
005121,1,Montiglio Monferrato,1585
006002,1,Albera Ligure,293
006004,1,Alfiano Natta,742
006005,1,Alice Bel Colle,732
006007,1,Altavilla Monferrato,424
006008,1,Alzano Scrivia,364
006010,1,Avolasca,262
006011,1,Balzola,1335
006012,1,Basaluzzo,2068
006013,1,Bassignana,1642
006014,1,Belforte Monferrato,502
006015,1,Bergamasco,708
006016,1,Berzano di Tortona,156
006017,1,Bistagno,1810
006018,1,Borghetto di Borbera,1951
006019,1,Borgoratto Alessandrino,558
006020,1,Borgo San Martino,1384
006021,1,Bosco Marengo,2311
006022,1,Bosio,1158
006023,1,Bozzole,326
006024,1,Brignano-Frascata,433
006025,1,Cabella Ligure,481
006026,1,Camagna Monferrato,478
006027,1,Camino,733
006028,1,Cantalupo Ligure,451
006029,1,Capriata d'Orba,1835
006030,1,Carbonara Scrivia,1126
006031,1,Carentino,310
006032,1,Carezzano,426
006033,1,Carpeneto,931
006034,1,Carrega Ligure,85
006035,1,Carrosio,502
006036,1,Cartosio,726
006037,1,Casal Cermelli,1191
006038,1,Casaleggio Boiro,372
005069,1,Moncalvo,2833
005070,1,Moncucco Torinese,883
005071,1,Mongardino,874
005072,1,Montabone,321
005073,1,Montafia,935
005074,1,Montaldo Scarampi,740
005075,1,Montechiaro d'Asti,1276
005076,1,Montegrosso d'Asti,2320
005077,1,Montemagno,1080
005079,1,Moransengo,186
005081,1,Olmo Gentile,71
005082,1,Passerano Marmorito,420
005083,1,Penango,460
005084,1,Piea,559
005085,1,Pino d'Asti,216
005086,1,Piovà Massaia,588
005087,1,Portacomaro,2021
005088,1,Quaranti,166
005089,1,Refrancore,1562
005090,1,Revigliasco d'Asti,779
005091,1,Roatto,374
005092,1,Robella,473
005093,1,Rocca d'Arazzo,901
005094,1,Roccaverano,382
005095,1,Rocchetta Palafea,347
005096,1,Rocchetta Tanaro,1416
005098,1,San Giorgio Scarampi,106
005099,1,San Martino Alfieri,683
005100,1,San Marzano Oliveto,1017
005101,1,San Paolo Solbrito,1209
005103,1,Scurzolengo,539
006085,1,Grondona,479
006086,1,Guazzora,303
006087,1,Isola Sant'Antonio,659
006088,1,Lerma,817
006090,1,Malvicino,78
006091,1,Masio,1318
006092,1,Melazzo,1294
006093,1,Merana,181
006094,1,Mirabello Monferrato,1262
006095,1,Molare,2104
006096,1,Molino dei Torti,589
006097,1,Mombello Monferrato,955
006098,1,Momperone,199
006099,1,Moncestino,190
006100,1,Mongiardino Ligure,149
006101,1,Monleale,562
006102,1,Montacuto,251
006103,1,Montaldeo,237
006104,1,Montaldo Bormida,619
006105,1,Montecastello,307
006106,1,Montechiaro d'Acqui,532
006107,1,Montegioco,293
006108,1,Montemarzino,304
006109,1,Morano sul Po,1385
006110,1,Morbello,417
006111,1,Mornese,711
006112,1,Morsasco,627
006113,1,Murisengo,1343
006115,1,Occimiano,1270
006116,1,Odalengo Grande,438
006117,1,Odalengo Piccolo,239
006118,1,Olivola,117
006119,1,Orsara Bormida,415
006120,1,Ottiglio,616
006122,1,Oviglio,1198
006123,1,Ozzano Monferrato,1382
006124,1,Paderna,200
006040,1,Casalnoceto,984
006041,1,Casasco,119
006043,1,Cassine,2943
006044,1,Cassinelle,850
006045,1,Castellania Coppi,88
006046,1,Castellar Guidobono,400
006047,1,Castellazzo Bormida,4454
006048,1,Castelletto d'Erro,141
006049,1,Castelletto d'Orba,1925
006050,1,Castelletto Merli,460
006051,1,Castelletto Monferrato,1473
006052,1,Castelnuovo Bormida,636
006054,1,Castelspina,412
006055,1,Cavatore,265
006056,1,Cella Monte,495
006057,1,Cereseto,405
006058,1,Cerreto Grue,300
006059,1,Cerrina Monferrato,1347
006060,1,Coniolo,440
006061,1,Conzano,955
006062,1,Costa Vescovato,323
006063,1,Cremolino,1036
006065,1,Denice,170
006066,1,Dernice,184
006067,1,Fabbrica Curone,593
006068,1,Felizzano,2210
006069,1,Fraconalto,311
006070,1,Francavilla Bisio,510
006071,1,Frascaro,440
006072,1,Frassinello Monferrato,490
006073,1,Frassineto Po,1378
006074,1,Fresonara,652
006075,1,Frugarolo,1928
006076,1,Fubine Monferrato,1599
006077,1,Gabiano,1052
006078,1,Gamalero,816
006079,1,Garbagna,652
006081,1,Gavi,4459
006082,1,Giarole,686
006083,1,Gremiasco,302
006084,1,Grognardo,243
006149,1,Rosignano Monferrato,1498
006150,1,Sala Monferrato,324
006151,1,Sale,3994
006152,1,San Cristoforo,568
006153,1,San Giorgio Monferrato,1207
006154,1,San Salvatore Monferrato,4179
006155,1,San Sebastiano Curone,571
006156,1,Sant'Agata Fossili,384
006157,1,Sardigliano,394
006158,1,Sarezzano,1157
006159,1,Serralunga di Crea,523
006161,1,Sezzadio,1264
006162,1,Silvano d'Orba,1911
006163,1,Solero,1634
006164,1,Solonghello,209
006165,1,Spigno Monferrato,976
006166,1,Spineto Scrivia,359
006167,1,Stazzano,2387
006168,1,Strevi,1910
006169,1,Tagliolo Monferrato,1538
006170,1,Tassarolo,617
006171,1,Terruggia,922
006172,1,Terzo,854
006173,1,Ticineto,1341
006175,1,Treville,276
006176,1,Trisobbio,676
006178,1,Valmacca,982
006179,1,Vignale Monferrato,959
006180,1,Vignole Borbera,2061
006181,1,Viguzzolo,3111
006182,1,Villadeati,479
006183,1,Villalvernia,896
006184,1,Villamiroglio,300
006185,1,Villanova Monferrato,1804
006186,1,Villaromagnano,662
006187,1,Visone,1207
006188,1,Volpedo,1186
006189,1,Volpeglino,133
006190,1,Voltaggio,709
006191,1,Cassano Spinola,1867
006192,1,Alluvioni Piovera,1689
006193,1,Lu e Cuccaro Monferrato,1379
007001,2,Allein,209
007002,2,Antey-Saint-André,553
007004,2,Arnad,1243
007005,2,Arvier,861
007006,2,Avise,302
007007,2,Ayas,1380
007008,2,Aymavilles,2115
007009,2,Bard,120
006125,1,Pareto,539
006126,1,Parodi Ligure,641
006127,1,Pasturana,1271
006128,1,Pecetto di Valenza,1187
006129,1,Pietra Marazzi,895
006131,1,Pomaro Monferrato,334
006132,1,Pontecurone,3531
006133,1,Pontestura,1375
006134,1,Ponti,578
006135,1,Ponzano Monferrato,329
006136,1,Ponzone,1012
006137,1,Pozzol Groppo,296
006138,1,Pozzolo Formigaro,4612
006139,1,Prasco,486
006140,1,Predosa,1954
006141,1,Quargnento,1382
006142,1,Quattordio,1564
006143,1,Ricaldone,640
006144,1,Rivalta Bormida,1388
006145,1,Rivarone,402
006146,1,Roccaforte Ligure,125
006147,1,Rocca Grimalda,1484
006148,1,Rocchetta Ligure,215
007046,2,Ollomont,164
007047,2,Oyace,212
007048,2,Perloz,460
007049,2,Pollein,1537
007050,2,Pontboset,170
007051,2,Pontey,794
007052,2,Pont-Saint-Martin,3638
007053,2,Pré-Saint-Didier,1020
007054,2,Quart,4106
007055,2,Rhêmes-Notre-Dame,84
007056,2,Rhêmes-Saint-Georges,169
007057,2,Roisan,1024
007058,2,Saint-Christophe,3517
007059,2,Saint-Denis,374
007060,2,Saint-Marcel,1360
007061,2,Saint-Nicolas,314
007062,2,Saint-Oyen,200
007063,2,Saint-Pierre,3228
007064,2,Saint-Rhémy-en-Bosses,329
007065,2,Saint-Vincent,4564
007066,2,Sarre,4856
007067,2,Torgnon,559
007068,2,Valgrisenche,193
007069,2,Valpelline,608
007070,2,Valsavarenche,173
007071,2,Valtournenche,2263
007072,2,Verrayes,1276
007073,2,Verrès,2632
007074,2,Villeneuve,1250
008001,7,Airole,370
008002,7,Apricale,622
008003,7,Aquila d'Arroscia,153
008004,7,Armo,117
008005,7,Aurigo,333
008006,7,Badalucco,1094
008007,7,Bajardo,341
008009,7,Borghetto d'Arroscia,417
008010,7,Borgomaro,835
008012,7,Caravonica,265
007010,2,Bionaz,223
007011,2,Brissogne,946
007012,2,Brusson,862
007013,2,Challand-Saint-Anselme,751
007014,2,Challand-Saint-Victor,535
007015,2,Chambave,908
007016,2,Chamois,96
007017,2,Champdepraz,706
007018,2,Champorcher,384
007019,2,Charvensod,2401
007020,2,Châtillon,4582
007021,2,Cogne,1350
007022,2,Courmayeur,2730
007023,2,Donnas,2460
007024,2,Doues,505
007025,2,Emarèse,226
007026,2,Etroubles,476
007027,2,Fénis,1790
007028,2,Fontainemore,430
007029,2,Gaby,448
007030,2,Gignod,1741
007031,2,Gressan,3375
007032,2,Gressoney-La-Trinité,314
007033,2,Gressoney-Saint-Jean,795
007034,2,Hône,1172
007035,2,Introd,652
007036,2,Issime,405
007037,2,Issogne,1368
007038,2,Jovençan,708
007039,2,La Magdeleine,107
007040,2,La Salle,2040
007041,2,La Thuile,797
007042,2,Lillianes,444
007043,2,Montjovet,1771
007044,2,Morgex,2123
007045,2,Nus,2971
010026,7,Gorreto,85
010027,7,Isola del Cantone,1445
010029,7,Leivi,2389
015035,3,Bubbiano,2438
015038,3,Buscate,4648
015042,3,Calvignasco,1225
015050,3,Carpiano,4168
015055,3,Casarile,4033
015061,3,Cassinetta di Lugagnano,1856
017082,3,Idro,1899
017083,3,Incudine,357
017084,3,Irma,128
017086,3,Isorella,4126
017087,3,Lavenone,515
017089,3,Limone sul Garda,1142
017090,3,Lodrino,1666
017091,3,Lograto,3842
010030,7,Lorsica,422
010031,7,Lumarzo,1504
010032,7,Masone,3593
010033,7,Mele,2641
010034,7,Mezzanego,1488
010035,7,Mignanego,3557
010036,7,Moconesi,2468
010037,7,Moneglia,2684
010038,7,Montebruno,225
010039,7,Montoggio,2022
013044,3,Carate Urio,1144
013045,3,Carbonate,2956
013046,3,Carimate,4491
013047,3,Carlazzo,3187
013052,3,Caslino d'Erba,1665
013053,3,Casnate con Bernate,4984
013055,3,Cassina Rizzardi,3373
013058,3,Castelmarte,1257
013059,3,Castelnuovo Bozzente,907
013062,3,Cavargna,203
013063,3,Cerano d'Intelvi,545
013068,3,Cirimido,2135
013071,3,Claino con Osteno,568
013074,3,Colonno,499
016135,3,Misano di Gera d'Adda,2974
016136,3,Moio de' Calvi,207
016137,3,Monasterolo del Castello,1165
016139,3,Montello,3313
016140,3,Morengo,2511
016141,3,Mornico al Serio,2968
016142,3,Mozzanica,4500
016145,3,Olmo al Brembo,494
016146,3,Oltre il Colle,990
016147,3,Oltressenda Alta,146
016148,3,Oneta,583
016149,3,Onore,907
016150,3,Orio al Serio,1706
015078,3,Cisliano,4876
015082,3,Colturano,2064
015097,3,Cusago,4263
015101,3,Dresano,3012
010040,7,Ne,2203
010041,7,Neirone,841
010042,7,Orero,527
010043,7,Pieve Ligure,2485
010044,7,Portofino,377
010045,7,Propata,137
010048,7,Rezzoaglio,949
010049,7,Ronco Scrivia,4219
013077,3,Corrido,825
013083,3,Cremia,674
013084,3,Cucciago,3495
013085,3,Cusino,224
013087,3,Dizzasco,607
013089,3,Domaso,1482
013090,3,Dongo,3289
013092,3,Dosso del Liro,248
013097,3,Eupilio,2618
013098,3,Faggeto Lario,1162
013099,3,Faloppio,4780
013100,3,Fenegrò,3227
016151,3,Ornica,147
016154,3,Pagazzano,2118
016155,3,Paladina,4049
016156,3,Palazzago,4487
016158,3,Parre,2711
016159,3,Parzanica,357
016161,3,Peia,1777
016162,3,Pianico,1461
016163,3,Piario,1065
016164,3,Piazza Brembana,1205
016165,3,Piazzatorre,394
016166,3,Piazzolo,89
016167,3,Pognano,1602
016168,3,Ponte Nossa,1770
004045,1,Casalgrasso,1418
004046,1,Castagnito,2207
004047,1,Casteldelfino,155
004049,1,Castelletto Stura,1374
004050,1,Castelletto Uzzone,317
004051,1,Castellinaldo d'Alba,904
004052,1,Castellino Tanaro,296
004053,1,Castelmagno,59
004054,1,Castelnuovo di Ceva,107
004055,1,Castiglione Falletto,698
004056,1,Castiglione Tinella,839
004057,1,Castino,477
004058,1,Cavallerleone,665
004060,1,Celle di Macra,86
004062,1,Ceresole Alba,2031
004063,1,Cerretto Langhe,420
004065,1,Cervere,2240
004068,1,Chiusa di Pesio,3622
004069,1,Cigliè,181
004070,1,Cissone,86
004071,1,Clavesana,809
004072,1,Corneliano d'Alba,2166
004073,1,Cortemilia,2269
004074,1,Cossano Belbo,940
